ID	fold	statistic	pval	padj	rgd_symbol	entrezgene	refseq_mrna	refseq_peptide	refseq_ncrna	gene_biotype
Ripk3	0.993983726944736	3.41353183722965	0.00353425239846454	0.815590966384435	Ripk3	246240	NM_139342	NP_647558	NA	protein_coding
Brms1	0.137864791815971	1.40922662608431	0.177806885472471	0.93134689530303	Brms1	100911841	NM_001009605	NP_001009605	NA	protein_coding
Dyrk1a	0.188164578669234	1.21326031126979	0.242546059689816	0.961411131536463	Dyrk1a	25255	NM_012791	NP_036923	NA	protein_coding
Bcl6	0.599503795015189	1.90488786601406	0.0748331025628042	0.841774227576197	Bcl6	303836	NM_001107084	NP_001100554	NA	protein_coding
Tgfb1	0.572856452346628	1.86070094096403	0.081166821452435	0.844758183109114	Tgfb1	59086	NM_021578	NP_067589	NA	protein_coding
Tp53	0.210353645390422	1.54804894008299	0.141057994017345	0.915629743254293	Tp53	24842	NM_030989	NP_112251	NA	protein_coding
Ctbp1	0.00857019212338272	0.0840396737314901	0.934061894238388	0.997196801240842	Ctbp1	29382	NM_019201	NP_062074	NA	protein_coding
Jdp2	0.0432709981439139	0.296041644953989	0.770985991993352	0.997196801240842	Jdp2	116674	NM_053894	NP_446346	NA	protein_coding
Nipbl	0.0843430926657014	0.524916473707546	0.606800829630297	0.997196801240842	Nipbl	294787	NA	NA	NA	protein_coding
Akap8l	-0.0185888940323853	-0.0710431370668397	0.94423919552377	0.997196801240842	Akap8l	299569	NM_001013946	NP_001013968	NA	protein_coding
Srebf1	0.110474480570755	1.05748609377956	0.305912898393775	0.964641997747827	Srebf1	78968	NM_001276707	NP_001263636	NA	protein_coding
Hdac6	0.135495590216848	0.986884421888245	0.338312095677562	0.969280898447854	Hdac6	84581	NA	NA	NA	protein_coding
Fnta	0.03679506842081	0.45561695244819	0.654755530942126	0.997196801240842	Fnta	25318	NM_012847	NP_036979	NA	protein_coding
Prkd2	0.53325666731062	3.29936721591775	0.00449866038762407	0.815590966384435	Prkd2	292658	NM_001013895	NP_001013917	NA	protein_coding
RGD735065	0.00782021395518484	0.094582420396806	0.925814682822332	0.997196801240842	RGD735065	294311	NM_199379	NP_955411	NA	protein_coding
Pink1	-0.125012146754425	-0.71082957398402	0.487369487866146	0.996927439381126	Pink1	298575	NM_001106694	NP_001100164	NA	protein_coding
