ID	fold	statistic	pval	padj	rgd_symbol	entrezgene	refseq_mrna	refseq_peptide	refseq_ncrna	gene_biotype
Mmp3	-0.0642908462000373	-0.13330472231181	0.895605827688602	0.997196801240842	Mmp3	NA	NA	NA	NA	protein_coding
Ncstn	0.166613261016122	1.04225319568714	0.312706264580946	0.965620120684775	Ncstn	289231	NM_174864	NP_777353	NA	protein_coding
Rhbdd1	-0.120357964963953	-1.20951926457033	0.243940120973665	0.961411131536463	Rhbdd1	316557	NM_001024891	NP_001020062	NA	protein_coding
Erap1	0.00874432260788627	0.0917495086326	0.928029950478891	0.997196801240842	Erap1	80897	NM_030836	NP_110463	NA	protein_coding
Casp1	0.391612275040716	1.37952030359031	0.186611632753838	0.941042006072458	Casp1	25166	NM_012762	NP_036894	NA	protein_coding
Bace1	-0.010041406624393	-0.132107846025432	0.89653733080226	0.997196801240842	Bace1	29392	NM_019204	NP_062077	NA	protein_coding
Senp2	0.354238866589943	2.78844567119064	0.0131013589851187	0.815590966384435	Senp2	78973	NM_023989	NP_076479	NA	protein_coding
Psen2	-0.036618632495327	-0.231215878852414	0.820062445565372	0.997196801240842	Psen2	81751	NM_031087	NP_112349	NA	protein_coding
Aph1a	-0.0167402949307043	-0.113131549110186	0.911326138039775	0.997196801240842	Aph1a	365872	NM_001014255	NP_001014277	NA	protein_coding
Adamts9	-0.0803666051405107	-0.239454095210994	0.813777885453743	0.997196801240842	Adamts9	312566	NM_001107877	NP_001101347	NA	protein_coding
Cd46	0.0539835199811733	0.430315438793109	0.672675962753722	0.997196801240842	Cd46	29333	NM_019190	NP_062063	NA	protein_coding
F9	-0.0558547492667669	-0.750790658645046	0.463620949414042	0.991525315291175	F9	24946	NM_031540	NP_113728	NA	protein_coding
Fap	-0.00685079819820711	-0.0361811445387261	0.971583117756733	0.997674679505978	Fap	192203	NM_138850	NP_620205	NA	protein_coding
Tpp1	0.092735522166441	0.522840973856508	0.608211906476766	0.997196801240842	Tpp1	83534	NM_031357	NP_112647	NA	protein_coding
Pcsk6	0.176924640334091	1.12498893942379	0.27710049839931	0.961411131536463	Pcsk6	25507	NM_012999	NP_037131	NA	protein_coding
Pcsk2	0.0711169941746927	0.685658519884399	0.502691328634772	0.997008139256725	Pcsk2	25121	NM_012746	NP_036878	NA	protein_coding
Htra3	0.0149329786626176	0.125812233305794	0.901439611651062	0.997196801240842	Htra3	360959	NM_001271027	NP_001257956	NA	protein_coding
Tmem59	-0.0311802386588358	-0.161035180173173	0.874070811267084	0.997196801240842	Tmem59	100196907	NM_001139465	NP_001132937	NA	protein_coding
Mmp9	0.156927202624191	0.329580238612178	0.74596986652366	0.997196801240842	Mmp9	81687	NM_031055	NP_112317	NA	protein_coding
Plg	-0.024479353785086	-0.251611127384163	0.804527903774975	0.997196801240842	Plg	85253	NM_053491	NP_445943	NA	protein_coding
Ece1	0.029881843384933	0.258117849617301	0.799589295343793	0.997196801240842	Ece1	94204	NM_053596	NP_446048	NA	protein_coding
Psen1	0.475237011678868	2.83477277943755	0.0119043764770603	0.815590966384435	Psen1	29192	NM_019163	NP_062036	NA	protein_coding
Capn7	0.00686146242492747	0.0560246839978385	0.956012130532866	0.997196801240842	Capn7	306260	NM_001030037	NP_001025208	NA	protein_coding
Senp3	0.116264394226239	1.39373508580303	0.182355344363598	0.936774947614302	Senp3	303245	NM_001013116	NP_001013134	NA	protein_coding
Adam10	0.0503866695811643	0.244357801187025	0.810043267682338	0.997196801240842	Adam10	29650	NM_019254	NP_062127	NA	protein_coding
