ID	fold	statistic	pval	padj	rgd_symbol	entrezgene	refseq_mrna	refseq_peptide	refseq_ncrna	gene_biotype
Pla2r1	0.039090156960143	0.218199656187882	0.830017617135594	0.919691638322016	Pla2r1	295631	NM_001100837	NP_001094307	NA	protein_coding
Rxra	-0.0807591710812678	-0.473116846275177	0.642486213201543	0.808304395953211	Rxra	25271	NM_012805	NP_036937	NA	protein_coding
Smad3	-0.270729123922546	-3.04313227762231	0.00771222991971041	0.0501462967219514	Smad3	25631	NM_013095	NP_037227	NA	protein_coding
Pth1r	-0.18625688912994	-1.27152169799024	0.221621055525553	0.434863931765952	Pth1r	56813	NM_020073	NP_064458	NA	protein_coding
Npr1	1.31756131772765	4.55714836430274	0.000318933799647362	0.00756944672006006	Npr1	24603	NM_012613	NP_036745	NA	protein_coding
Itga3	-0.0405960828591159	-0.319261056761747	0.753637159486626	0.878373281004049	Itga3	360606	NA	NA	NA	protein_coding
Adra2a	0.0258696730092076	0.0767193671524093	0.93979293015743	0.971437568573978	Adra2a	25083	NM_012739	NP_036871	NA	protein_coding
Ptprn2	-1.04762980119854	-4.19612463543731	0.000676750964118484	0.0115250399566997	Ptprn2	29714	NM_031600	NP_113788	NA	protein_coding
Lifr	0.0750860688057435	0.999788593242096	0.332216033420061	0.552847529056924	Lifr	81680	NM_031048	NP_112310	NA	protein_coding
Erbb3	-0.753939717271796	-3.53901264609225	0.00270990284791009	0.0260054824745584	Erbb3	29496	NM_017218	NP_058914	NA	protein_coding
Adrb2	0.319817589556461	3.79376839443151	0.00158022107308965	0.0188270251203036	Adrb2	24176	NM_012492	NP_036624	NA	protein_coding
Ripk1	0.192531416179959	1.74753290024978	0.0996041780961684	0.264121430055988	Ripk1	306886	NM_001107350	NP_001100820	NA	protein_coding
Klrd1	-0.0447029852908494	-0.44387567997133	0.663045359393288	0.822981441093479	Klrd1	25110	NM_012745	NP_036877	NA	protein_coding
Olr1	0.976184504134914	2.47615216324423	0.0247686795131063	0.106588915134197	Olr1	140914	NM_133306	NP_579840	NA	protein_coding
Rnmt	-0.164595963031246	-1.03602872166339	0.315513283515117	0.535789129246581	Rnmt	291534	NM_001008299	NP_001008300	NA	protein_coding
Gabra5	0.0342203359100077	0.396299819319562	0.697091344108903	0.844260572788078	Gabra5	29707	NM_017295	NP_058991	NA	protein_coding
App	-0.342820645522517	-2.0239141412387	0.05991696873681	0.19104935170407	App	54226	NM_019288	NP_062161	NA	protein_coding
Lrp5	-0.380267406176047	-2.42451041860278	0.0274698617011314	0.114055129464437	Lrp5	293649	NM_001106321	NP_001099791	NA	protein_coding
Notch3	-0.0491667278850958	-0.492425368609313	0.629071911465305	0.79913350623328	Notch3	56761	NM_020087	NP_064472	NA	protein_coding
Ptpra	-0.114401000068425	-1.04700308067332	0.310576384139163	0.530639824692672	Ptpra	25167	NM_012763	NP_036895	NA	protein_coding
Impg2	0.0059437293331559	0.0678012715343557	0.946779455318151	0.975587381828186	Impg2	245919	NM_139088	NP_620788	NA	protein_coding
Tnfrsf1a	0.673244341120725	4.67713596948479	0.000248988284664219	0.00649000467755774	Tnfrsf1a	25625	NM_013091	NP_037223	NA	protein_coding
Eng	1.55354462416828	5.18919352221468	8.80294641924774e-05	0.00351470148337724	Eng	497010	NM_001010968	NP_001010968	NA	protein_coding
